asof_date,symbol,model,horizon,signal,position,close
2026-09-01,2337.TW,random_forest,5,0.0044231094440945,1.0,122.5
2026-09-01,2344.TW,random_forest,5,0.0036293963574671,1.0,176.0
2026-09-01,2408.TW,random_forest,5,0.0053091145105016,1.0,518.0
2026-09-01,MU,random_forest,5,0.0122331735755625,1.0,933.4400024414062
2026-09-02,2337.TW,random_forest,5,0.0036801338622839,1.0,123.0
2026-09-02,2344.TW,random_forest,5,0.0042834217908347,1.0,179.0
2026-09-02,2408.TW,random_forest,5,0.0030233051997371,1.0,518.0
2026-09-02,MU,random_forest,5,0.00887261158585,1.0,956.0800170898438
2026-09-03,2337.TW,random_forest,5,0.0069786087980226,1.0,117.0
2026-09-03,2344.TW,random_forest,5,0.0094050241895484,1.0,169.0
2026-09-03,2408.TW,random_forest,5,0.0147847854785774,1.0,477.5
2026-09-03,MU,random_forest,5,0.0030177262336007,1.0,958.1599731445312
2026-09-04,2337.TW,random_forest,5,1.4172276258037075e-06,1.0,121.5
2026-09-04,2344.TW,random_forest,5,0.0071447410231494,1.0,174.0
2026-09-04,2408.TW,random_forest,5,0.0044265565181225,1.0,496.0
2026-09-04,MU,random_forest,5,-0.0012204913371402,-1.0,1016.5900268554688
2026-09-07,2337.TW,random_forest,5,-0.0013385019010998997,-1.0,124.5
2026-09-07,2344.TW,random_forest,5,0.0037721550234463865,1.0,180.0
2026-09-07,2408.TW,random_forest,5,0.0011162552831662795,1.0,517.0
