date,open,high,low,close,volume
2011-09-26,4.410130133614723,4.4177470207214355,4.410130133614723,4.4177470207214355,5761737
2011-09-27,4.516765123000626,4.722419221839848,4.516765123000626,4.638634204864502,15935460
2011-09-28,4.6767189001343175,4.691952676584274,4.592933871865473,4.60816764831543,7094120
2011-09-29,4.608167932641652,4.714803261061925,4.577700377861875,4.6767191886901855,6808026
2011-09-30,4.699568782001016,4.707185297854351,4.608166880732028,4.661484718322754,5246767
2011-10-03,4.585316231395523,4.585316231395523,4.372045993804932,4.372045993804932,13143996
2011-10-04,4.273028031542223,4.417747798748207,4.242560848852584,4.364429950714111,13776469
2011-10-05,4.432981013438129,4.44059790092028,4.280644377103865,4.311111927032471,12916142
2011-10-06,4.4177486061042845,4.4862995013566165,4.38728141784668,4.38728141784668,11730893
2011-10-07,4.402514308980366,4.432981491088867,4.402514308980366,4.432981491088867,5352009
2011-10-11,4.55484966334635,4.562466551339726,4.493914930502296,4.516765594482422,7922772
2011-10-12,4.516765813953194,4.59293395538208,4.478681743238751,4.539616107940674,8257911
2011-10-13,4.57008354920357,4.592933842630098,4.501531926718075,4.524382591247559,5714736
2011-10-14,4.5396155577258455,4.615784061025849,4.478681200409347,4.493914604187012,12782291
2011-10-17,4.547232887538121,4.600550733704209,4.51676570591591,4.531999111175537,6304295
2011-10-18,4.493915297324215,4.524382851784671,4.455831967557578,4.509149074554443,3824469
2011-10-19,4.562466663900706,4.585316957341625,4.493915041372033,4.531999111175537,4260763
2011-10-20,4.49391493182679,4.509148707818031,4.379663467407227,4.379663467407227,5717801
2011-10-21,4.463448893225464,4.463448893225464,4.387280748647979,4.455832004547119,6382971
2011-10-24,4.531999111175537,4.570083552081997,4.5091488177346175,4.531999111175537,19294004
2011-10-25,4.554849775719413,4.585316957341625,4.531999111175537,4.531999111175537,13039776
2011-10-26,4.455831744771675,4.5015319608684745,4.440598339406076,4.471065521240234,5806695
2011-10-27,4.4634486385707834,4.539616036596702,4.4558317503270075,4.486298561096191,5980395
2011-10-28,4.570083245909161,4.592933537819225,4.425364235674849,4.440598011016846,9784430
2011-10-31,4.417747729873908,4.448214912088553,4.303495518241767,4.318728923797607,8057645
2011-11-01,4.265410578001319,4.410129942340533,4.250176804448607,4.356812477111816,5990613
2011-11-02,4.25017698878538,4.4177470207214355,4.234943214571955,4.4177470207214355,5905806
2011-11-03,4.4253640538977095,4.4253640538977095,4.273027420043945,4.273027420043945,7592742
2011-11-04,4.402514349310142,4.455831825712701,4.356813390177258,4.3948974609375,8614508
2011-11-07,4.394897588517979,4.402514477111732,4.288261890411377,4.288261890411377,6583237
2011-11-08,4.288261080871259,4.333962032703358,4.25779390335083,4.25779390335083,6377862
2011-11-09,4.273027420043945,4.3720462134937454,4.273027420043945,4.273027420043945,5113938
2011-11-10,4.189242927531827,4.189242927531827,3.9759726524353027,3.9759726524353027,13956300
2011-11-11,3.945505748053292,4.006440487759524,3.80078597319036,3.8312535285949707,13859232
2011-11-14,3.8845705569613918,3.9835893583144486,3.8845705569613918,3.9150381088256836,9028323
2011-11-15,3.9378884621889902,3.9531222383554447,3.846486547396168,3.861720323562622,5893545
2011-11-16,3.884570191756349,4.036906823447153,3.7931682869624486,3.8084020614624023,41827007
2011-11-17,3.884570576398889,3.907421240411448,3.5418143272399902,3.5418143272399902,52416589
2011-11-18,3.450412650405855,3.450412650405855,3.29807710647583,3.29807710647583,44404923
2011-11-21,3.1609739087511386,3.2295255275082453,3.069572925567627,3.069572925567627,28411221
2011-11-22,2.993404824036238,3.1533572521509643,2.8943860180744223,3.107656478881836,49895892
2011-11-23,3.084806501545798,3.214291737401542,2.9705541133880615,2.9705541133880615,30965636
2011-11-24,2.9857879698596754,3.1076565144194994,2.970554378595762,3.0543394088745117,17441543
2011-11-25,3.077189797694987,3.1305069016658376,3.008638360704068,3.023872137069702,13323826
2011-11-28,3.160974176618938,3.160974176618938,3.0543394088745117,3.0543394088745117,14526445
2011-11-29,3.1076564174318753,3.1533571897973287,3.0848066806793213,3.0848066806793213,24750234
2011-11-30,3.0848065433794116,3.17620771293924,2.871535539627075,2.871535539627075,187177290
2011-12-01,3.031488839701041,3.0391057278838582,2.9172364447161754,3.023872137069702,64000349
2011-12-02,3.023871826096695,3.1076561030795364,2.9934044620501483,3.0391054153442383,23193063
2011-12-05,3.054339048528524,3.153356916183284,3.0467223465709155,3.1381235122680664,25501232
2011-12-06,3.138123847523699,3.191441323577419,3.0314888954162598,3.0314888954162598,26724286
2011-12-07,3.077189797694987,3.100039534486047,3.016255248886885,3.023872137069702,12923294
2011-12-08,3.0314886996655925,3.0467224753275235,2.86391865179611,2.871535539627075,27053295
2011-12-09,2.7877503309241476,2.7877503309241476,2.6734988689422607,2.6734988689422607,39489207
2011-12-12,2.7344332834316893,2.802983971772195,2.7191996940496543,2.7420501708984375,16527063
2011-12-13,2.6811156620253453,2.7420503956509297,2.6811156620253453,2.7039661407470703,10047023
2011-12-14,2.7268166822121302,2.8867692947387695,2.711583091230951,2.8867692947387695,24681776
2011-12-15,2.8867695344566897,2.8867695344566897,2.787750720977783,2.787750720977783,15778108
2011-12-16,2.78775039164752,2.825834646091138,2.7344334745147085,2.7572832107543945,12049684
2011-12-19,2.757283244075684,2.772516834706342,2.7039661407470703,2.7039661407470703,12171275
2011-12-20,2.772516690231047,2.8867690778860036,2.757283100394208,2.810600757598877,22819097
2011-12-21,2.993404735516099,3.00102162361145,2.940086889951594,3.00102162361145,21355928
2011-12-22,3.00102147874728,3.061956023914251,2.9477036357565143,2.9705541133880615,11521431
2011-12-23,3.1152732818351874,3.176208019256592,3.092423543895983,3.176208019256592,22529937
2011-12-26,3.2066750992921698,3.221908875933361,3.0924234444465712,3.107656478881836,13697793
2011-12-27,3.107656148148236,3.26760948699727,3.092423115334153,3.2599925994873047,25657562
2011-12-28,3.25999278181506,3.4504123824936763,3.2219087132381588,3.320927143096924,48619707
2011-12-29,3.3209269937747257,3.3590114317421422,3.2752260393167534,3.343777656555176,21656327
2011-12-30,3.4047125461515533,3.4351797268538893,3.1762077631266696,3.1990580558776855,28403047
2012-01-02,3.1990580558776855,3.1990580558776855,3.1990580558776855,3.1990580558776855,0
2012-01-03,3.1990580558776855,3.1990580558776855,3.1990580558776855,3.1990580558776855,0
2012-01-04,3.1990580558776855,3.1990580558776855,3.1990580558776855,3.1990580558776855,0
2012-01-05,3.1990580558776855,3.1990580558776855,3.1990580558776855,3.1990580558776855,0
2012-01-06,3.298076478525612,3.343777429885586,3.16097362444569,3.206674575805664,14939238
2012-01-09,3.199058116175895,3.206675004270784,3.122889977432909,3.145740270614624,7560045
2012-01-10,3.199057707816564,3.221908369184347,3.176207417551686,3.1914408206939697,7804247
2012-01-11,3.2066750712622354,3.221908847770266,3.1685910010951184,3.1838247776031494,7512022
2012-01-12,3.2219088695266387,3.2219088695266387,3.145740357575107,3.168591022491455,6824374
2012-01-13,3.1914412466212885,3.206675022899565,3.115273107435813,3.122889995574951,11089225
2012-01-16,3.1685907965133655,3.1762076842755924,3.069572925567627,3.069572925567627,9106999
2012-01-17,3.1000395930481015,3.282843242925705,3.1000395930481015,3.275226354598999,17708224
2012-01-18,3.30569372360812,3.343777792015438,3.21429181098938,3.21429181098938,27831880
2012-01-30,3.4351797103881836,3.4351797103881836,3.427562822473373,3.4351797103881836,25461383
2012-01-31,3.496113012626301,3.671299934387207,3.4351793992387942,3.671299934387207,51069901
2012-02-01,3.785552257782116,3.88456992984104,3.694150359150946,3.8236355781555176,40554909
2012-02-02,3.899804078175992,3.9074209656445644,3.724617893016357,3.816019058227539,36672198
2012-02-03,3.823636254717698,4.082608222961426,3.7398519702037456,4.082608222961426,44382444
2012-02-06,4.364429779974665,4.425364514073105,4.143541879134381,4.181626319885254,75363407
2012-02-07,4.181626688779395,4.303495796624352,4.113075802689278,4.174009799957275,27367998
2012-02-08,4.196859863438139,4.28064489364624,4.189242975036862,4.28064489364624,36704895
2012-02-09,4.242560350471199,4.242560350471199,4.097841713574488,4.158775329589844,43023495
2012-02-10,4.158775085710641,4.448214198045381,4.158775085710641,4.4177470207214355,91558396
2012-02-13,4.41013111468623,4.7224202156066895,4.303495784779026,4.7224202156066895,74348793
2012-02-14,4.851905326762813,5.011858502462515,4.722420076473059,4.966157913208008,90294472
